"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Coco Vanille (Coco Vanille) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>COCO VANILLE</strong> est un spray d'intérieur et textile gourmand exotique d'une douceur tropicale et enveloppante, inspiré du célèbre <em>Coco Vanille</em>. Son ouverture révèle la noix de coco crémeuse et généreuse, associée à une vanille dorée et solaire, dans une explosion de douceur tropicale immédiatement réconfortante. Au cœur, le lait de coco satiné et la fleur de tiaré délicate créent un accord crémeux d'une sensualité apaisante. En fond, la vanille de Madagascar intense et le musc blanc soyeux diffusent un sillage doux et délicieusement addictif dans chaque pièce — un spray paradisiaque qui transforme votre intérieur en une oasis de douceur tropicale.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/COCO-VANILLE.jpg","INSPIRÉ DE COCO VANILLE","0",""
"simple","Coton Frais (Coton Frais) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>COTON FRAIS</strong> est un spray d'intérieur et textile musqué frais d'une pureté cristalline et apaisante. Son ouverture déploie une fraîcheur cotonneuse aérienne, aussi légère et propre qu'un linge fraîchement lavé au matin. Au cœur, le musc blanc délicat et les notes de cèdre fin créent un accord propre et lumineux d'une légèreté incomparable. En fond, l'iris poudré et la vanille légère posent un voile de douceur aérienne et persistante — un spray rafraîchissant qui enveloppe vos textiles et votre intérieur d'une fraîcheur immaculée et élégante.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/COTON-FRAIS.jpg","COTON FRAIS","0",""
"simple","Douceur (Soupline) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>DOUCEUR</strong> est un spray d'intérieur et textile floral musqué d'une légèreté enveloppante et réconfortante, inspiré du célèbre <em>Soupline</em>. Son ouverture aérienne dévoile des fleurs blanches délicates — muguet et jasmin — dans un accord floral d'une innocence désarmante. Au cœur, le musc propre et la douceur cotonneuse s'unissent pour créer un accord d'une légèreté soyeuse et apaisante. En fond, la vanille légère et le bois de cèdre délicat diffusent un sillage doux, frais et infiniment réconfortant — un spray qui enveloppe chaque textile d'une douceur irrésistible, comme un câlin parfumé.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/DOUCEUR.jpg","INSPIRÉ DE SOUPLINE","0",""
"simple","Emirats (Emirats) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ÉMIRATS</strong> est un spray d'intérieur et textile oriental boisé d'une opulence majestueuse et envoûtante. Son ouverture somptueuse déploie des épices précieuses — safran doré et cardamome élégante — dans une chaleur orientale immédiatement saisissante et luxueuse. Au cœur, l'oud noble et l'encens mystérieux créent un accord d'une profondeur envoûtante, transportant les sens vers les palais parfumés des Émirats. En fond, l'ambre chaud, le musc royal et le bois de santal posent une base d'une richesse incomparable — un spray d'exception qui transforme chaque espace en un salon princier d'Orient.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/EMIRATS.jpg","ÉMIRATS","0",""
"simple","Figue (Wild Fig) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>FIGUE</strong> est un spray d'intérieur et textile fruité boisé d'une fraîcheur verte et lumineuse, inspiré du célèbre <em>Wild Fig</em>. Son ouverture révèle la figue fraîche et verte — à la fois laiteuse et légèrement boisée — dans un accord naturel d'une authenticité saisissante. Au cœur, les feuilles de figuier et la sève végétale créent un accord green et vivifiant d'une légèreté méditerranéenne. En fond, le bois de cèdre chaud, la bergamote lumineuse et le musc blanc tissent un sillage naturel et persistant — un spray élégant qui invite la nature dans chaque recoin de votre intérieur.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/FIGUE.jpg","INSPIRÉ DE WILD FIG","0",""
"simple","Floral (Floral) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>FLORAL</strong> est un spray d'intérieur et textile floral éclairant d'une féminité lumineuse et intemporelle. Son ouverture déploie un bouquet de fleurs fraîches — rose de velours, pivoine délicate et jasmin crémeux — dans une explosion florale d'une beauté saisissante. Au cœur, la tubéreuse blanche et le muguet aérien apportent une profondeur florale d'une noblesse sophistiquée. En fond, le musc blanc soyeux et l'ambre léger posent un voile floral persistant et enveloppant — un spray élégant qui transforme votre intérieur en un jardin de fleurs éternelles.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/FLORAL.jpg","FLORAL","0",""
"simple","Friandise (Friandise) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>FRIANDISE</strong> est un spray d'intérieur et textile gourmand sucré d'une douceur joyeuse et addictive. Son ouverture éclate de notes fruitées et confisées — fraise bonbon, framboise acidulée et barbe à papa légère — dans une explosion de douceur festive et enchanteresse. Au cœur, le caramel fondant et la praline crémeuse créent un accord gourmand d'une sensualité sucrée irrésistible. En fond, la vanille chaude, le musc blanc et le sucre perlé diffusent un sillage doux, sucré et infiniment réconfortant — un spray délicieux qui enveloppe votre maison d'une atmosphère festive et gourmande.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/FRIANDISE.jpg","FRIANDISE","0",""
"simple","Maliki (Oud Malaki) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>MALIKI</strong> est un spray d'intérieur et textile oriental précieux d'une opulence royale et envoûtante, inspiré du célèbre <em>Oud Malaki</em>. Son ouverture déploie l'oud précieux et le safran doré dans une explosion de richesse orientale d'une intensité immédiatement captivante. Au cœur, la rose opulente et l'ambre chaud se marient harmonieusement avec l'oud pour créer un accord d'une profondeur incomparable. En fond, le bois de santal crémeux, la vanille dorée et le musc royal posent une base d'une richesse somptueuse — un spray royal qui diffuse dans votre intérieur le luxe intemporel des palais d'Orient.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/MALIKI.jpg","INSPIRÉ DE OUD MALAKI","0",""
"simple","Raya (Yara) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>RAYA</strong> est un spray d'intérieur et textile floral gourmand d'une douceur veloutée et envoûtante, inspiré du célèbre <em>Yara</em>. Son ouverture aérienne dévoile une iris poudrée et lumineuse, subtilement sucrée, d'une féminité délicate et raffinée. Au cœur, la praline crémeuse et le cachemire soyeux se fondent dans un accord doux et chaleureux d'une sensualité apaisante. En fond, la vanille dorée, le musc blanc et le bois de santal diffusent un sillage poudré et infiniment féminin — un spray élégant qui enveloppe vos textiles et votre intérieur d'une douceur royale et persistante.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/RAYA.jpg","INSPIRÉ DE YARA","0",""
"simple","White Musc (Tahara) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>WHITE MUSC</strong> est un spray d'intérieur et textile musqué d'une pureté cristalline et apaisante, inspiré du célèbre <em>Musc Tahara</em>. Son déploiement olfactif est d'une légèreté soyeuse et immédiatement enveloppante, révélant un musc blanc d'une blancheur absolue — propre, délicat et infiniment doux. Au cœur, ce musc pur s'épanouit avec grâce, créant une atmosphère de sérénité d'une élégance intemporelle. En fond, des notes poudrées et légèrement vanillées posent un voile de douceur aérienne et persistante — un spray d'une pureté immaculée qui sanctifie chaque espace et sublime chaque textile.</div>","","","8.99","Collection Privée L'Original > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/WHITE-MUSC.jpg","INSPIRÉ DE TAHARA","0",""
