"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:_custom_badge","meta:_pack_quantity","meta:_pack_parfums"
"simple","Vanilla Power (Vanilla Powder) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>VANILLA POWER</strong> est un parfum gourmand poudré d'une douceur envoûtante et addictive, inspiré du célèbre <em>Vanilla Powder</em>. Son ouverture révèle l'iris givré et la bergamote lumineuse dans un accord poudré d'une pureté immédiatement saisissante. Au cœur, la vanille crémeuse de Madagascar et le talc délicat créent un accord gourmand d'une sophistication veloutée et irrésistible. En fond, le santal chaud, le musc blanc poudré et la fève tonka posent un sillage chaud, enveloppant et terriblement persistant — un parfum sensoriel qui transforme chaque instant en un cocon de douceur vanillée et lumineuse.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/VANILLA-POWER-BOITE.jpg","(INSPIRÉ DE VANILLA POWDER)","0",""
"simple","Dima Maghreb (Althaïr) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>DIMA MAGHREB</strong> est un parfum oriental épicé d'une profondeur mystérieuse et captivante, inspiré du célèbre <em>Althaïr</em>. Son ouverture dévoile le safran lumineux et le poivre noir piquant dans une chaleur épicée d'une intensité immédiatement magnétique. Au cœur, la rose de Damas et le bois de oud précieux créent un accord floral oriental d'une richesse incomparable. En fond, l'ambre chaud, le musc boisé et la résine de labdanum posent une base profonde et persistante — un parfum qui évoque les souks parfumés et la majesté des nuits orientales.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/DIMA-MOROCCO.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/DIMA-MAGHREB-BOITE.jpg","(INSPIRÉ DE ALTHAÏR)","0",""
"simple","Khamrah (Khamrah) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>KHAMRAH</strong> est un parfum oriental gourmand d'une opulence chaleureuse et enivrante, inspiré du célèbre <em>Khamrah</em>. Son ouverture révèle des notes fruitées confites et épicées — abricot doré et cardamome — dans une chaleur orientale d'une richesse immédiatement captivante. Au cœur, la rose de Damas et le jasmin moelleux créent un accord floral oriental d'une féminité somptueuse. En fond, l'ambre crémeux, le musc musqué et le bois de oud posent une base chaude, voluptueuse et longuement persistante — un parfum enivrant comme un soir d'Orient.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/KHAMRAH.jpg","(INSPIRÉ DE KHAMRAH)","0",""
"simple","Tonka (Tonka) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>TONKA</strong> est un parfum gourmand boisé d'une chaleur douce et addictive, inspiré du célèbre <em>Tonka</em>. Son ouverture révèle la bergamote lumineuse et la cardamome épicée dans un accord frais qui se réchauffe progressivement. Au cœur, la fève tonka crémeuse et la vanille ambrée créent un accord gourmand d'une profondeur réconfortante et enveloppante. En fond, le santal crémeux, le musc blanc chaud et le bois de cèdre posent un sillage boisé et gourmand d'une persistance remarquable — un parfum cocooning qui invite au voyage intérieur.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/TONKA-BOITE.jpg","(INSPIRÉ DE TONKA)","0",""
"simple","Kirsh (Kirkè) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>KIRSH</strong> est un parfum fruité floral d'une féminité ensorcelante et lumineuse, inspiré du célèbre <em>Kirkè</em>. Son ouverture révèle la cerise noire juteuse et la prune mûre dans un accord fruité d'une sensualité immédiatement captivante. Au cœur, la rose sombre et le jasmin crémeux créent un accord floral d'une volupté envoûtante et précieuse. En fond, le musc ambré, la vanille boisée et le patchouli doux posent une base fruité-florale d'une persistance magique — un parfum ensorcelant comme les charmes de la mythologie.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/KIRSH-BOITE.jpg","(INSPIRÉ DE KIRKÈ)","0",""
"simple","Princesse D'Arabie (Ameerat Al Arab) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>PRINCESSE D'ARABIE</strong> est un parfum oriental floral d'une opulence royale et envoûtante, inspiré du célèbre <em>Ameerat Al Arab</em>. Son ouverture somptueuse révèle une rose de velours majestueuse et un safran doré dans une chaleur orientale d'une richesse immédiatement captivante. Au cœur, l'oud précieux et le jasmin blanc s'unissent pour créer un accord floral oriental d'une profondeur royale incomparable. En fond, l'ambre chaud, la vanille crémeuse et le musc royal posent un voile somptueux et persistant — un parfum princier digne des plus grands palais d'Orient.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/PRINCESSE-D-ARABIE-BOITE.jpg","(INSPIRÉ DE AMEERAT AL ARAB)","0",""
"simple","Yara Intense (Yara) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>YARA INTENSE</strong> est un parfum floral fruité d'une féminité lumineuse et envoûtante, inspiré du célèbre <em>Yara</em>. Son ouverture révèle la fraise gorgée de soleil et la framboise acidulée dans un accord fruité d'une fraîcheur immédiatement réjouissante. Au cœur, la rose de Damas opulente et le jasmin délicat créent un bouquet floral d'une féminité douce et lumineuse. En fond, le musc rose, la vanille crémeuse et le bois de santal posent un sillage floral et persistant d'une douceur addictive — un parfum rayonnant qui capte la lumière à chaque mouvement.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/YARA-INTENSE-BOITE.jpg","(INSPIRÉ DE YARA)","0",""
"simple","Rouge (Rouge Trafalgar) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ROUGE</strong> est un parfum floral rouge d'une intensité passionnée et envoûtante, inspiré du célèbre <em>Rouge Trafalgar</em>. Son ouverture révèle la groseille éclatante et la framboise rouge vif dans un accord fruité d'une intensité immédiatement lumineuse. Au cœur, la rose rouge veloutée et le jasmin blanc créent un accord floral d'une romantisme ardent et sensuel. En fond, le musc rosé, le bois de santal chaud et la vanille ambrée posent une base florale et persistante d'une passion ardente — un parfum rouge sang fait pour les âmes passionnées.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ROUGE-BOITE.jpg","(INSPIRÉ DE ROUGE TRAFALGAR)","0",""
"simple","Oud (Oud Ispahan) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>OUD</strong> est un parfum oriental boisé d'une majesté somptueuse et envoûtante, inspiré du célèbre <em>Oud Ispahan</em>. Son ouverture révèle la rose de Damas la plus pure et les épices précieuses dans un accord floral oriental d'une richesse immédiatement royale. Au cœur, l'oud de haute qualité et la résine de labdanum créent un accord boisé d'une profondeur mystique et puissante. En fond, le musc ambre, le patchouli précieux et le santal posent une base orientale d'une persistance majestueuse — un parfum d'une noblesse rare qui transcende le temps.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/OUD-INTENSE.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/OUD-INTENSE-BOITE.jpg","(INSPIRÉ DE OUD ISPAHAN)","0",""
"simple","Seduction (Alien) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>SEDUCTION</strong> est un parfum floral boisé d'une féminité mystérieuse et envoûtante, inspiré du célèbre <em>Alien</em>. Son ouverture révèle le jasmin blanc solaire dans un accord floral d'une luminosité immédiatement saisissante et unique. Au cœur, la fleur de cachemire et le bois de santal créent un accord floral-boisé d'une sensualité enveloppante et profonde. En fond, le musc blanc chaud, la vanille ambrée et le bois de cèdre posent une base chaude et persistante — un parfum extraterrestre qui captive par sa beauté absolue et unique.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/SEDUCTION.jpg","(INSPIRÉ DE ALIEN)","0",""
"simple","Infinie (L'Immensité) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>INFINIE</strong> est un parfum aquatique boisé d'une immensité apaisante et lumineuse, inspiré du célèbre <em>L'Immensité</em>. Son ouverture révèle le citron frais et le gingembre aquatique dans un accord frais d'une légèreté immédiatement aérienne. Au cœur, la menthe froide et le cyprès vert créent un accord aromatique d'une sérénité naturelle et distinctive. En fond, le bois flottant, le musc blanc et le vétiver aquatique posent une base boisée et sereine d'une persistance infinie — un parfum qui ouvre l'horizon et invite à la contemplation de l'immensité.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/INFINI.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/INFINIE-BOITE.jpg","(INSPIRÉ DE L'IMMENSITÉ)","0",""
