"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Aisha (Magic) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>AISHA</strong> est un spray d'intérieur et textile floral fruité d'une fraîcheur lumineuse et envoûtante, inspiré du célèbre <em>Magic</em>. Son ouverture déploie des fruits rouges éclatants — framboise juteuse et cerise fraîche — mêlés à une rose veloutée dans une explosion fruitée et florale immédiatement saisissante. Au cœur, la pivoine crémeuse et la fleur de tiaré apportent une féminité douce et lumineuse. En fond, le musc blanc soyeux, la vanille légère et le bois de santal diffusent un sillage enveloppant et persistant — un spray magique qui transforme votre intérieur en un jardin de douceur et de lumière.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/AISHA.jpg","INSPIRÉ DE MAGIC","0",""
"simple","Ameerat (Ameerat Al Arab) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>AMEERAT</strong> est un spray d'intérieur et textile oriental floral d'une opulence royale et envoûtante, inspiré du célèbre <em>Ameerat Al Arab</em>. Son ouverture somptueuse révèle une rose de velours majestueuse et un safran doré dans une chaleur orientale d'une richesse immédiatement captivante. Au cœur, l'oud précieux et le jasmin blanc s'unissent pour créer un accord floral oriental d'une profondeur royale incomparable. En fond, l'ambre chaud, la vanille crémeuse et le musc royal posent un voile somptueux et persistant — un spray princier qui enveloppe chaque espace d'un luxe oriental intemporel.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/AMEERAT.jpg","INSPIRÉ DE AMEERAT AL ARAB","0",""
"simple","Bakara (Baccarat Rouge 540) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>BAKARA</strong> est un spray d'intérieur et textile floral ambré d'une élégance absolue et envoûtante, inspiré du célèbre <em>Baccarat Rouge 540</em>. Son ouverture déploie le safran lumineux et le jasmin floral dans une signature olfactive d'une sophistication immédiatement reconnaissable. Au cœur, l'ambre gris précieux et le bois de cèdre élégant créent un accord d'une profondeur boisée et chaleureuse. En fond, la mousse de chêne délicate et le musc ambré posent une traîne d'une richesse incomparable — un spray d'exception qui sublime chaque pièce d'un sillage luxueux et inoubliable.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/BAKARA.jpg","INSPIRÉ DE BACCARAT ROUGE 540","0",""
"simple","Bois Intense (Bois D'Argent) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>BOIS INTENSE</strong> est un spray d'intérieur et textile boisé musqué d'une élégance lumineuse et sereine, inspiré du célèbre <em>Bois d'Argent</em>. Son ouverture dévoile l'iris poudré et le miel lumineux dans un accord floral boisé d'une délicatesse raffinée. Au cœur, le bois de santal argenté et l'héliotrope crémeux créent une profondeur boisée d'une douceur lumineuse et distinctive. En fond, le patchouli discret, le musc blanc et le bois de cèdre diffusent un sillage boisé et persistant d'une élégance intemporelle — un spray envoûtant qui emplit votre intérieur d'une sérénité boisée et précieuse.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/BOIS-INTENSE.jpg","INSPIRÉ DE BOIS D'ARGENT","0",""
"simple","Candy Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>CANDY</strong> est un spray d'intérieur et textile gourmand sucré d'une douceur festive et addictive. Son ouverture éclate de caramel fondant et de praline crémeuse dans une explosion sucrée d'une gourmandise irrésistible et joyeuse. Au cœur, la rose poudrée et le benjoin crémeux ajoutent une dimension florale sucrée d'une sensualité enveloppante. En fond, la vanille chaude, le musc blanc doux et le bois de santal diffusent un sillage sucré et infiniment réconfortant — un spray délicieux qui invite la gourmandise dans chaque recoin de votre intérieur.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/CANDY.jpg","CANDY","0",""
"simple","Eclair Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ÉCLAIR</strong> est un spray d'intérieur et textile fruité frais d'une vivacité lumineuse et électrisante. Son ouverture déploie la bergamote éclatante et la mandarine pétillante dans un accord agrumé d'une fraîcheur immédiate et tonique. Au cœur, la fleur de citronnier et la menthe fraîche créent un accord vert et aromatique d'une légèreté vivifiante. En fond, le bois de cèdre frais, l'ambre blanc et le musc aquatique posent un sillage propre et aérien d'une persistance lumineuse — un spray éclatant qui emplit votre intérieur d'une énergie fraîche et revitalisante.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ECLAIR.jpg","ÉCLAIR","0",""
"simple","Erba (Erba Pura) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ERBA</strong> est un spray d'intérieur et textile fruité musqué d'une fraîcheur méditerranéenne et lumineuse, inspiré du célèbre <em>Erba Pura</em>. Son ouverture révèle la mandarine sicilienne gorgée de soleil et l'ananas tropical juteux dans une explosion fruitée d'une vivacité solaire immédiatement réjouissante. Au cœur, la fleur d'oranger blanche et la fleur de cerisier apportent un accord floral léger d'une féminité fraîche et aérienne. En fond, le musc blanc pur, le santal crémeux et l'ambre lumineux diffusent un sillage doux, frais et persistant — un spray ensoleillé qui transforme votre intérieur en une terrasse méditerranéenne baignée de lumière.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ERBA.jpg","INSPIRÉ DE ERBA PURA","0",""
"simple","Illegal (L'Interdit) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ILLEGAL</strong> est un spray d'intérieur et textile floral sombre d'une élégance rebelle et captivante, inspiré du célèbre <em>L'Interdit</em>. Son ouverture dévoile la fleur d'oranger lumineuse et la poire fraîche dans un accord floral fruité d'une fraîcheur saisissante. Au cœur, la tubéreuse opulente et le jasmin crémeux créent un accord floral d'une intensité veloutée et sensuelle. En fond, le patchouli boisé, le vétiver fumé et le musc ambré posent une base obscure et magnétique — un spray fascinant qui enveloppe chaque espace d'une élégance sombre et irrésistiblement attirante.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ILLEGAL.jpg","INSPIRÉ DE L'INTERDIT","0",""
"simple","Krypto (Kryptonite) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>KRYPTO</strong> est un spray d'intérieur et textile boisé frais d'une puissance magnétique et irrésistible, inspiré du célèbre <em>Kryptonite</em>. Son ouverture électrisante déploie la bergamote vibrante et le gingembre piquant dans un accord frais et aromatique d'une énergie immédiatement saisissante. Au cœur, la lavande noble et le géranium frais créent un accord aromatique d'une élégance masculine et distinctive. En fond, le vétiver fumé, le bois de cèdre et le musc ambré posent une base puissante et persistante — un spray magnétique qui transforme votre intérieur en un espace de force et d'élégance intemporelle.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/KRYPTO.jpg","INSPIRÉ DE KRYPTONITE","0",""
"simple","Marshmallow (Marshmallow Blush) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>MARSHMALLOW</strong> est un spray d'intérieur et textile gourmand poudré d'une douceur aérienne et enveloppante, inspiré du célèbre <em>Marshmallow Blush</em>. Son ouverture déploie la fraise des champs sucrée et la framboise confisée dans un accord fruité gourmand d'une légèreté joyeuse et immédiatement réconfortante. Au cœur, la rose poudrique et la vanille crémeuse s'unissent pour créer un accord floral sucré d'une douceur délicate et féminine. En fond, le musc blanc soyeux, le sucre perlé et le bois de cèdre léger posent un sillage doux, poudré et infiniment enveloppant — un spray paradisiaque qui remplit votre espace d'une douceur nuageuse et irrésistible.</div>","","","6.99","COLLECTION PRIVÉE INTENSE > Sprays d'Intérieur et Textile","https://www.collectionloriginal.com/wp-content/uploads/2026/03/MARSHMALLOW.jpg","INSPIRÉ DE MARSHMALLOW BLUSH","0",""
