"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:nombre_parfums_choisir","meta:parfums_disponibles_pack"
"simple","Noir De Noir (Noir De Noir) Collection Privée L'original","1","0","visible","<strong>NOIR DE NOIR</strong> est un parfum oriental gourmand d'une intensité envoûtante, inspiré du célèbre <em>Black Opium</em>. Son ouverture explosive associe le café torréfié à une touche de poire juteuse, dans un contraste saisissant et immédiatement addictif. Au cœur, le jasmin lumineux et les fleurs blanches se mêlent à la chaleur captivante du café pour un accord à la fois floral et sombre. En fond, la vanille crémeuse, le patchouli profond et le musc cachemire tissent un sillage velouté et terriblement sensuel — une fragrance de nuit, faite pour marquer les esprits et ne jamais s'effacer.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE BLACK OPIUM)","0",""
"simple","Bois Intense (Bois Intense) Collection Privée L'original","1","0","visible","<strong>BOIS INTENSE</strong> est un parfum boisé poudré d'une élégance rare et intemporelle, inspiré du célèbre <em>Bois d'Argent</em>. Son ouverture déploie une iris froide et lumineuse, aux accents poudrés et héliotropés d'une pureté saisissante. Au cœur, la chaleur veloutée du bois de santal enveloppe un musc blanc aérien, créant un équilibre délicat entre légèreté et profondeur. En fond, l'ambre chaud, le patchouli subtil et le vétiver fumé posent une base enveloppante et sophistiquée — une fragrance qui conjugue noblesse et sensualité avec une élégance absolue.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE BOIS D'ARGENT)","0",""
"simple","Cherry (Cherry) Collection Privée L'original","1","0","visible","<strong>CHERRY</strong> est un parfum fruité oriental d'une gourmandise provocante et irrésistible, inspiré du célèbre <em>Lost Cherry</em>. Son ouverture éclate d'une cerise noire éclatante et d'une touche de kirsch, à la fois fraîche, fruitée et légèrement enivrante. Au cœur, l'amande amère élégante se marie à la tubéreuse crémeuse et à l'iris poudré pour un accord floral-gourmand troublant. En fond, la fève tonka ronde, le bois de santal soyeux, le patchouli sombre et la vanille chaude enveloppent la peau d'une chaleur profonde et addictive — une fragrance à la fois innocente et terriblement séduisante.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE LOST CHERRY)","0",""
"simple","Creme Brulee (Creme Brulee) Collection Privée L'original","1","0","visible","<strong>CREME BRULEE</strong> est un parfum gourmand d'une douceur enveloppante et réconfortante, inspiré du célèbre <em>Escapade Gourmande</em>. Son ouverture offre une délicieuse explosion de poire dorée et d'amande légèrement grillée, à la fois fraîche et sucrée. Au cœur, un caramel chaud et une praline généreuse se déploient avec une sensualité gourmande irrésistible. En fond, la vanille crémeuse, le bois de cèdre délicat et le musc blanc tissent un sillage doux, chaud et réconfortant — une fragrance délicieuse qui éveille les sens et rappelle les plaisirs sucrés les plus précieux.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE ESCAPADE GOURMANDE)","0",""
"simple","Erba (Erba) Collection Privée L'original","1","0","visible","<strong>ERBA</strong> est un parfum fruité boisé d'une fraîcheur solaire et généreuse, inspiré du célèbre <em>Erba Pura</em>. Son ouverture explose d'agrumes méditerranéens — citron de Sicile zesté, orange lumineuse et pamplemousse vitaminé — comme une invitation au voyage sous le soleil. Au cœur, une framboise juteuse aux accents légèrement floraux apporte une touche de sensualité fruitée. En fond, la vanille douce, le bois de santal crémeux et le musc blanc tissent un sillage chaud, enveloppant et généreusement addictif — une fragrance lumineuse et solaire, faite pour rayonner.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE ERBA PURA)","0",""
"simple","Illegal (Illegal) Collection Privée L'original","1","0","visible","<strong>ILLEGAL</strong> est un parfum floral sombre d'une beauté transgressive et envoûtante, inspiré du célèbre <em>L'Interdit</em>. Son ouverture fraîche associe la mandarine lumineuse à la bergamote éclatante, avant de basculer dans un cœur troublant. La tubéreuse blanche intense et le jasmin crémeux se mêlent à la rose pour créer un accord floral à la fois élégant et sulfureux. En fond, le vétiver fumé, le patchouli terreux et la fève tonka enveloppante installent un sillage magnétique et profondément sensuel — une fragrance pour celles qui aiment transgresser les règles avec grâce.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE L'INTERDIT)","0",""
"simple","Inv (Inv) Collection Privée L'original","1","0","visible","<strong>INV</strong> est un parfum aquatique boisé d'une énergie conquérante et triomphante, inspiré du célèbre <em>Invictus</em>. Son ouverture dynamique associe le pamplemousse vif, la mandarine éclatante et une note marine fraîche dans une explosion de vitalité masculine. Au cœur, le laurier frais et le jasmin intense se marient au bois de guaïac fumé pour un accord noble et puissant. En fond, l'ambre gris lumineux, le chêne robuste et le musc animal posent une base virile et conquérante — une fragrance taillée pour les hommes qui s'imposent avec assurance.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE INVICTUS)","0",""
"simple","Krypto (Krypto) Collection Privée L'original","1","0","visible","<strong>KRYPTO</strong> est un parfum oriental boisé d'une puissance magnétique et mystérieuse, inspiré du célèbre <em>Kryptonite</em>. Son ouverture dévoile une rencontre saisissante entre des épices chaudes et des notes fruitées lumineuses, dans un contraste envoûtant. Au cœur, un accord floral intense — rose musquée et iris velouté — se développe avec une profondeur troublante. En fond, l'ambre précieux, l'oud boisé et le musc sensuel tissent un sillage enveloppant et irrésistiblement puissant — une fragrance qui fascine, subjugue et ne laisse personne indifférent.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE KRYPTONITE)","0",""
"simple","Madawi (Madawi) Collection Privée L'original","1","0","visible","<strong>MADAWI</strong> est un parfum oriental floral d'une opulence envoûtante et précieuse, inspiré du célèbre <em>Madawi</em>. Son ouverture déploie une rose somptueuse et safranée, aux reflets dorés et capiteux, d'une générosité royale. Au cœur, l'oud noble et mystérieux se marie harmonieusement à la rose pour créer un accord oriental d'une richesse incomparable. En fond, l'ambre chaud, le musc sensuel et le bois de santal crémeux posent une base profonde et infiniment séduisante — une fragrance d'exception, digne des plus grands palais d'Orient.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE MADAWI)","0",""
"simple","Marshmallow (Marshmallow) Collection Privée L'original","1","0","visible","<strong>MARSHMALLOW</strong> est un parfum gourmand floral d'une douceur aérienne et addictive, inspiré du célèbre <em>Marshmallow Blush</em>. Son ouverture fondante révèle une note de marshmallow délicieusement sucrée, enveloppée d'une rose tendre et d'une touche de fraise rougissante. Au cœur, la vanille soyeuse et le sucre délicat se fondent en un accord crémeux et réconfortant, d'une sensualité toute en douceur. En fond, le musc blanc vaporeux et la poudre de riz tissent un sillage léger et enveloppant — une fragrance douce comme un nuage, faite pour être portée à même la peau.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE MARSHMALLOW BLUSH)","0",""
