"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Vanilla Power (Vanilla Powder) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>VANILLA POWER</strong> est un parfum gourmand poudré d'une douceur envoûtante et addictive, inspiré du célèbre <em>Vanilla Powder</em>. Son ouverture révèle l'iris givré et la bergamote lumineuse dans un accord poudré d'une pureté immédiatement saisissante. Au cœur, la vanille crémeuse de Madagascar et le talc délicat créent un accord gourmand d'une sophistication veloutée et irrésistible. En fond, le santal chaud, le musc blanc poudré et la fève tonka posent un sillage chaud, enveloppant et terriblement persistant — un parfum sensoriel qui transforme chaque instant en un cocon de douceur vanillée et lumineuse.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/VANILLA-POWER.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/VANILLA-POWER-BOITE.jpg","(INSPIRÉ DE VANILLA POWDER)","0",""
"simple","Aisha (Magic) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>AISHA</strong> est un parfum floral fruité d'une fraîcheur lumineuse et envoûtante, inspiré du célèbre <em>Magic</em>. Son ouverture déploie des fruits rouges éclatants — framboise juteuse et cerise fraîche — mêlés à une rose veloutée dans une explosion fruitée et florale immédiatement saisissante. Au cœur, la pivoine crémeuse et la fleur de tiaré apportent une féminité douce et lumineuse. En fond, le musc blanc soyeux, la vanille légère et le bois de santal tissent un sillage enveloppant et persistant — un parfum magique fait pour séduire et ne jamais s'effacer.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/AISHA.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/AISHA-BOITE.jpg","(INSPIRÉ DE MAGIC)","0",""
"simple","Dima Maghreb (Althaïr) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>DIMA MAGHREB</strong> est un parfum oriental épicé d'une profondeur mystérieuse et captivante, inspiré du célèbre <em>Althaïr</em>. Son ouverture dévoile le safran lumineux et le poivre noir piquant dans une chaleur épicée d'une intensité immédiatement magnétique. Au cœur, la rose de Damas et le bois de oud précieux créent un accord floral oriental d'une richesse incomparable. En fond, l'ambre chaud, le musc boisé et la résine de labdanum posent une base profonde et persistante — un parfum qui évoque les souks parfumés et la majesté des nuits orientales.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/DIMA-MAGHREB.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/DIMA-MAGHREB-BOITE.jpg","(INSPIRÉ DE ALTHAÏR)","0",""
"simple","Dz Power (Hudson Valley) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>DZ POWER</strong> est un parfum boisé aromatique d'une fraîcheur verte et sauvage, inspiré du célèbre <em>Hudson Valley</em>. Son ouverture fraîche déploie la bergamote vive et le gingembre pétillant dans un accord aromatique d'une énergie immédiatement tonique. Au cœur, le cèdre vert et le cyprès aquatique créent un accord boisé d'une légèreté naturelle et distinctive. En fond, le vétiver terreux, le musc propre et le bois de santal posent une base boisée et aérienne d'une élégance intemporelle — un parfum de liberté qui évoque les grands espaces et l'air pur des forêts sauvages.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/DZ-POWER.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/DZ-POWER-BOITE.jpg","(INSPIRÉ DE HUDSON VALLEY)","0",""
"simple","Creme Brulee (Escapade Gourmande) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>CREME BRULEE</strong> est un parfum gourmand sucré d'une indulgence absolue et addictive, inspiré du célèbre <em>Escapade Gourmande</em>. Son ouverture éclate de caramel dorée et de praline crémeuse dans une explosion sucrée d'une gourmandise irrésistible. Au cœur, la fève tonka vanillée et le lait de amande créent un accord pâtissier d'une douceur enveloppante et réconfortante. En fond, le musc blanc chaud, la vanille de Madagascar et le bois de santal diffusent un sillage gourmand et infiniment persistant — un parfum pâtissier qui transforme chaque moment en une délicieuse escapade sucrée.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/CREME-BRULEE.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/CREME-BRULEE-BOITE.jpg","(INSPIRÉ DE ESCAPADE GOURMANDE)","0",""
"simple","Illegal (L'Interdit) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ILLEGAL</strong> est un parfum floral sombre d'une élégance rebelle et captivante, inspiré du célèbre <em>L'Interdit</em>. Son ouverture dévoile la fleur d'oranger lumineuse et la poire fraîche dans un accord floral fruité d'une fraîcheur saisissante. Au cœur, la tubéreuse opulente et le jasmin crémeux créent un bouquet floral d'une intensité veloutée et profondément sensuelle. En fond, le patchouli boisé, le vétiver fumé et le musc ambré posent une base obscure et magnétique — un parfum fascinant qui enveloppe et fascine avec une irrésistible élégance sombre.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/ILLEGAL.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/ILLEGAL-BOITE.jpg","(INSPIRÉ DE L'INTERDIT)","0",""
"simple","Bakara (Baccarat Rouge 540) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>BAKARA</strong> est un parfum floral ambré d'une élégance absolue et envoûtante, inspiré du célèbre <em>Baccarat Rouge 540</em>. Son ouverture déploie le safran lumineux et le jasmin floral dans une signature olfactive d'une sophistication immédiatement reconnaissable. Au cœur, l'ambre gris précieux et le bois de cèdre élégant créent un accord d'une profondeur boisée et chaleureuse. En fond, la mousse de chêne délicate et le musc ambré posent une traîne d'une richesse incomparable — un parfum d'exception qui marque les esprits d'un sillage luxueux et inoubliable.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/BAKARA.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/BAKARA-BOITE.jpg","(INSPIRÉ DE BACCARAT ROUGE 540)","0",""
"simple","Petit Sucre (Sucre Noir) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>PETIT SUCRE</strong> est un parfum gourmand oriental d'une douceur sombre et envoûtante, inspiré du célèbre <em>Sucre Noir</em>. Son ouverture révèle le caramel noir fumé et la prune confite dans un accord gourmand d'une profondeur immédiatement captivante. Au cœur, la rose sombre et l'iris poudré créent un accord floral gourmand d'une sensualité mystérieuse et veloutée. En fond, le patchouli obscur, la vanille noire et le musc ambré posent une base chaude, sombre et infiniment addictive — un parfum ténébreux qui révèle sa complexité au fil du temps.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/PETIT-SUCRE.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/PETIT-SUCRE-BOITE.jpg","(INSPIRÉ DE SUCRE NOIR)","0",""
"simple","Krypto (Kryptonite) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>KRYPTO</strong> est un parfum boisé frais d'une puissance magnétique et irrésistible, inspiré du célèbre <em>Kryptonite</em>. Son ouverture électrisante déploie la bergamote vibrante et le gingembre piquant dans un accord frais d'une énergie immédiatement saisissante. Au cœur, la lavande noble et le géranium frais créent un accord aromatique d'une élégance masculine distinctive. En fond, le vétiver fumé, le bois de cèdre et le musc ambré posent une base puissante et persistante — un parfum magnétique qui impose sa présence avec une force tranquille et inoubliable.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/KRYPTO.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/KRYPTO-BOITE.jpg","(INSPIRÉ DE KRYPTONITE)","0",""
"simple","Mula (Mula Puran) Collection Privée L'intense","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>MULA</strong> est un parfum oriental épicé d'une chaleur somptueuse et mystérieuse, inspiré du célèbre <em>Mula Puran</em>. Son ouverture déploie le safran royal et la rose dorée dans une chaleur orientale d'une richesse immédiatement enveloppante. Au cœur, l'oud raffiné et l'encens mystique créent un accord oriental d'une profondeur spirituelle et envoûtante. En fond, l'ambre précieux, la résine de benjoin et le musc oriental posent une base chaude et persistante d'une opulence incomparable — un parfum majestueux qui transporte dans un univers de luxe et de mystère absolu.</div>","","8.99","12.99","","https://www.collectionloriginal.com/wp-content/uploads/2026/03/MULA.jpg, https://www.collectionloriginal.com/wp-content/uploads/2026/03/MULA-BOITE.jpg","(INSPIRÉ DE MULA PURAN)","0",""
