"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Barbe A Papa (Barbe A Papa) Collection Privée L'original","1","0","visible","<strong>BARBE À PAPA</strong> est une brume corps et cheveux gourmande d'une douceur féerique et envoûtante. Son ouverture aérienne s'ouvre sur une barbe à papa sucrée et vaporeuse, aussi légère qu'un nuage de sucre filé, mêlée d'une fraise fraîche et lumineuse. Au cœur, la vanille douce et le sucre perlé se fondent harmonieusement, créant un accord gourmand d'une innocence désarmante. En fond, le musc blanc soyeux et un voile de caramel léger tissent un sillage doux, enveloppant et irrésistiblement addictif — une brume de rêve, aussi douce que les plus beaux souvenirs d'enfance.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(BARBE À PAPA)","0",""
"simple","Pistachio (Pistachio) Collection Privée L'original","1","0","visible","<strong>PISTACHIO</strong> est une brume corps et cheveux gourmande crémeuse d'une douceur sophistiquée et addictive, inspirée du célèbre <em>Pistachio Latte</em>. Son ouverture délicieuse révèle la pistache verte et douce, légèrement grillée, accompagnée d'une touche de café chaud et réconfortant. Au cœur, le lait crémeux et le caramel fondant créent un accord gourmand d'une douceur irrésistible. En fond, la vanille crémeuse, le bois de santal soyeux et le musc blanc tissent un sillage chaud et enveloppant — une brume délicieuse et profondément réconfortante, comme un latte artisanal en plein hiver.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE PISTACHIO LATTE)","0",""
"simple","Raya (Raya) Collection Privée L'original","1","0","visible","<strong>RAYA</strong> est une brume corps et cheveux florale gourmande d'une douceur veloutée et envoûtante, inspirée du célèbre <em>Yara</em>. Son ouverture aérienne dévoile une iris poudrée et lumineuse, subtilement sucrée, d'une féminité délicate et raffinée. Au cœur, la praline crémeuse et le cachemire soyeux se fondent dans un accord doux et chaleureux d'une sensualité apaisante. En fond, la vanille dorée, le musc blanc et le bois de santal enveloppent la peau d'un sillage poudré et infiniment féminin — une brume douce et lumineuse, conçue pour celles qui rayonnent avec grâce.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE YARA)","0",""
"simple","Fantasya (Fantasya) Collection Privée L'original","1","0","visible","<strong>FANTASYA</strong> est une brume corps et cheveux fruité florale d'une féminité enchanteresse et lumineuse, inspirée du célèbre <em>Fantasy</em>. Son ouverture éclatante associe le litchi rouge juteux, le coing acidulé et le kiwi vitaminé dans une explosion de fraîcheur tropicale et envoûtante. Au cœur, l'orchidée blanche et le jasmin délicat apportent une touche florale aérienne d'une sensualité lumineuse. En fond, le musc doux, l'ambre chaud et une note de caramel légèrement chocolatée tissent un sillage féminin et enveloppant — une brume magique, comme une échappée dans un monde enchanté.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE FANTASY)","0",""
"simple","Love Cherry (Love Cherry) Collection Privée L'original","1","0","visible","<strong>LOVE CHERRY</strong> est une brume corps et cheveux fruité florale d'une séduction sucrée et romantique. Son ouverture éclate d'une cerise rouge juteuse et brillante, associée à une rose de velours d'une féminité troublante. Au cœur, la fraise fraîche et la pivoine délicate se déploient dans un accord floral-fruité d'une douceur lumineuse et enchanteresse. En fond, la vanille rose, le musc blanc soyeux et le bois de cèdre léger tissent un sillage doux, fruité et infiniment séduisant — une brume romantique et addictive, faite pour celles qui osent aimer avec intensité.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(LOVE CHERRY)","0",""
"simple","Sweet Vanille (Sweet Vanille) Collection Privée L'original","1","0","visible","<strong>SWEET VANILLE</strong> est une brume corps et cheveux orientale gourmande d'une opulence vanillée et envoûtante, inspirée du célèbre <em>Vanille Royale</em>. Son ouverture révèle une vanille fumée et royale, profonde et charnue, d'une présence immédiatement captivante. Au cœur, la vanille de bourbon et le caramel doré se fondent dans un accord sucré-fumé d'une sensualité royale et troublante. En fond, la fève tonka ronde, le bois de santal soyeux et le musc blanc tissent un sillage chaud, enveloppant et infiniment addictif — une brume somptueuse, comme un voile de luxe posé sur la peau.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE VANILLE ROYALE)","0",""
"simple","Princesse D'Arabie (Princesse D'Arabie) Collection Privée L'original","1","0","visible","<strong>PRINCESSE D'ARABIE</strong> est une brume corps et cheveux orientale florale d'une opulence royale et majestueuse, inspirée du célèbre <em>Ameerat Al Arab</em>. Son ouverture somptueuse déploie une rose royale et un safran précieux, aux accents dorés et capiteux, d'une générosité orientale incomparable. Au cœur, l'oud noble et l'encens mystérieux se marient harmonieusement à la rose pour créer un accord d'une profondeur envoûtante. En fond, l'ambre chaud, le musc royal et le bois de santal posent une base d'une richesse majestueuse — une brume digne d'une princesse, faite pour régner.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE AMEERAT AL ARAB)","0",""
"simple","Tahitienne (Tahitienne) Collection Privée L'original","1","0","visible","<strong>TAHITIENNE</strong> est une brume corps et cheveux florale exotique d'une sensualité solaire et tropicale, inspirée du célèbre <em>Coconut Passion</em>. Son ouverture déploie la noix de coco crémeuse et ensoleillée, aussi douce qu'un voile de monoï sur la peau chaude. Au cœur, le jasmin sensuel et l'orchidée délicate apportent une touche florale aérienne et lumineuse. En fond, la vanille tropicale, le bois de santal soyeux et le musc doux tissent un sillage chaud, enveloppant et délicieusement exotique — une brume solaire qui transporte les sens sous les cocotiers du Pacifique.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE COCONUT PASSION)","0",""
"simple","Blush (Blush) Collection Privée L'original","1","0","visible","<strong>BLUSH</strong> est une brume corps et cheveux florale fruitée d'une féminité lumineuse et délicatement sensuelle, inspirée du célèbre <em>Rush</em>. Son ouverture fraîche et rosée révèle la pêche juteuse et la frésia lumineuse dans un accord fruité-floral d'une légèreté soyeuse. Au cœur, la rose de velours et le jasmin crémeux s'épanouissent avec grâce, d'une féminité douce et sophistiquée. En fond, la vanille légère, l'ambre chaud et le musc poudré tissent un sillage aérien et enveloppant — une brume délicate et féminine, conçue pour les femmes qui brillent avec douceur.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE RUSH)","0",""
"simple","Bloody (Bloody) Collection Privée L'original","1","0","visible","<strong>BLOODY</strong> est une brume corps et cheveux fruité gourmande d'une audace sombre et irrésistible, inspirée du célèbre <em>Magic Shell</em>. Son ouverture explosive dévoile des fruits rouges intenses — cerise noire, groseille et mûre — dans une richesse fruitée profonde et captivante. Au cœur, le chocolat noir fondu et la praline dorée se mêlent à la noix de coco pour créer un accord gourmand d'une sensualité troublante. En fond, la vanille noire, le musc chaud et un voile de caramel brûlé tissent un sillage enveloppant et profondément addictif — une brume intense et audacieuse, pour celles qui osent l'excès avec élégance.","","","8.99","Collection Privée L'Original > Brumes Corps et Cheveux","","(INSPIRÉ DE MAGIC SHELL)","0",""
