"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Aisha (Magic) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>AISHA</strong> est un gel douche floral oriental d'une sensualité enveloppante et envoûtante, inspiré du célèbre <em>Magic</em>. Son ouverture lumineuse révèle une bergamote fraîche et une pêche dorée, d'une légèreté immédiatement séduisante. Au cœur, le jasmin crémeux et la rose délicate s'épanouissent avec une féminité gracieuse et captivante. En fond, l'ambre chaud, la vanille soyeuse et le musc précieux enveloppent la peau d'un sillage doux et profondément sensuel — un gel douche d'exception, transformant chaque douche en un moment de luxe absolu.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Aisha-1.png","INSPIRÉ DE MAGIC","0",""
"simple","Elixir De Bois (Elixir De Bois) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ÉLIXIR DE BOIS</strong> est un gel douche boisé aromatique d'une profondeur mystérieuse et élégante. Son ouverture déploie des notes de bois nobles — cèdre précieux et bois de santal — dans une sophistication boisée immédiatement saisissante. Au cœur, l'iris poudré et le vétiver fumé apportent une profondeur aromatique d'une noblesse intemporelle. En fond, la résine d'ambre, le patchouli terreux et le musc boisé tissent un sillage enveloppant et profondément raffiné — un élixir précieux, sublimant chaque douche en une expérience sensorielle d'exception.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Elixer-de-bois.png","ÉLIXIR DE BOIS","0",""
"simple","Elixir Rouge (Elixir Rouge) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>ÉLIXIR ROUGE</strong> est un gel douche oriental épicé d'une intensité ardente et irrésistible. Son ouverture explosive révèle des épices vives — poivre rouge, cannelle et gingembre — dans un accord chaud et passionné d'une vivacité saisissante. Au cœur, la rose rouge opulente et le safran doré créent un accord floral épicé d'une richesse envoûtante et profonde. En fond, l'ambre rouge, le musc chaud et le bois de santal brûlant tissent un sillage ardent et magnétique — un élixir de passion, pour ceux qui vivent avec intensité.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Elixer-Rouge.png","ÉLIXIR ROUGE","0",""
"simple","Infinity (Infinity) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>INFINITY</strong> est un gel douche aquatique frais d'une pureté infinie et revigorante. Son ouverture déploie une fraîcheur marine cristalline, comme un souffle d'air pur au-dessus de l'océan — vive, lumineuse et immédiatement libératrice. Au cœur, le jasmin marin et la bergamote fraîche apportent une touche florale aérienne d'une légèreté incomparable. En fond, le musc blanc propre, le cèdre fin et l'ambre gris lumineux tissent un sillage frais et persistant — un gel douche infini, pour ceux qui portent l'étendue de l'horizon sur leur peau.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Infinity.png","INFINITY","0",""
"simple","Krypton (Kryptonite) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>KRYPTON</strong> est un gel douche oriental boisé d'une puissance magnétique et mystérieuse, inspiré du célèbre <em>Kryptonite</em>. Son ouverture dévoile une rencontre saisissante entre des épices chaudes et des notes fruitées lumineuses, dans un contraste envoûtant. Au cœur, un accord floral intense — rose musquée et iris velouté — se développe avec une profondeur troublante. En fond, l'ambre précieux, l'oud boisé et le musc sensuel tissent un sillage enveloppant et irrésistiblement puissant — un gel douche d'exception, pour ceux qui laissent une empreinte inoubliable.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Krypton.png","INSPIRÉ DE KRYPTONITE","0",""
"simple","Mula (Mula Puran) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>MULA</strong> est un gel douche oriental boisé d'une richesse profonde et envoûtante, inspiré du célèbre <em>Mula Puran</em>. Son ouverture déploie des épices orientales — safran chaud et cardamome délicate — dans une explosion de chaleur aromatique. Au cœur, la rose opulente et l'oud précieux se mêlent harmonieusement pour créer un accord floral-boisé d'une richesse incomparable. En fond, l'ambre doré, le musc sensuel et la résine d'encens posent une base enveloppante et mystérieuse — un gel douche venu d'Orient, transformant chaque douche en un voyage sensoriel d'exception.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Mula-1.png","INSPIRÉ DE MULA PURAN","0",""
"simple","Prince D'Arabie (Prince D'Arabie) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>PRINCE D'ARABIE</strong> est un gel douche oriental masculin d'une opulence royale et majestueuse. Son ouverture somptueuse déploie le safran précieux et la cardamome épicée, aux accents dorés d'une richesse orientale incomparable. Au cœur, l'oud noble et l'encens mystérieux créent un accord profond et magnétique, d'une virilité envoûtante. En fond, l'ambre chaud, le cuir précieux et le musc royal tissent un sillage puissant et persistant — un gel douche digne d'un prince d'Orient, façonné pour les hommes qui règnent avec élégance.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Prince.png","PRINCE D'ARABIE","0",""
"simple","Princesse D'Arabie (Ameerat Al Arab) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>PRINCESSE D'ARABIE</strong> est un gel douche oriental floral d'une opulence royale et majestueuse, inspiré du célèbre <em>Ameerat Al Arab</em>. Son ouverture somptueuse déploie une rose royale et un safran précieux, aux accents dorés et capiteux, d'une générosité orientale incomparable. Au cœur, l'oud noble et l'encens mystérieux se marient harmonieusement à la rose pour créer un accord d'une profondeur envoûtante. En fond, l'ambre chaud, le musc royal et le bois de santal posent une base d'une richesse majestueuse — un gel douche digne d'une princesse, fait pour régner.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Princesse.png","INSPIRÉ DE AMEERAT AL ARAB","0",""
"simple","Raya (Yara) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>RAYA</strong> est un gel douche floral gourmand d'une douceur veloutée et envoûtante, inspiré du célèbre <em>Yara</em>. Son ouverture aérienne dévoile une iris poudrée et lumineuse, subtilement sucrée, d'une féminité délicate et raffinée. Au cœur, la praline crémeuse et le cachemire soyeux se fondent dans un accord doux et chaleureux d'une sensualité apaisante. En fond, la vanille dorée, le musc blanc et le bois de santal enveloppent la peau d'un sillage poudré et infiniment féminin — un gel douche luxueux, transformant chaque douche en un soin parfumé d'une douceur royale.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Raya-1.png","INSPIRÉ DE YARA","0",""
"simple","Savane (Sauvage) Collection Privée L'original","1","0","visible","<div style=""color:#1a1a1a;line-height:1.7;""><strong>SAVANE</strong> est un gel douche boisé aromatique d'une fraîcheur virile et conquérante, inspiré du célèbre <em>Sauvage</em>. Son ouverture vive associe la bergamote lumineuse et le poivre de Sichuan dans une explosion de fraîcheur masculine immédiatement saisissante. Au cœur, la lavande sauvage et le géranium aromatique apportent une profondeur florale d'une noblesse intemporelle. En fond, le vétiver terreux, le patchouli sombre et le cèdre robuste tissent un sillage viril et persistant — un gel douche intense, pour les hommes qui portent la nature avec élégance.</div>","","","8.99","Collection Privée L'Original > Gels Douche","https://www.collectionloriginal.com/wp-content/uploads/2026/03/Savana.png","INSPIRÉ DE SAUVAGE","0",""
